Name,Team,Pos,g,R,HR,RBI,SB,OBP,PA,H,BB
Danny Espinosa,WAS,1B/2B/SS/3B,6,2.496,0.596,2.177,0.324,0.291488567,24.099,5.027,1.467
Alexei Ramirez,CHW,SS,6,2.461,0.327,2.046,0.73,0.281353526,25.358,6.101,0.907
Kolten Wong,STL,2B,5,2.654,0.522,1.717,0.612,0.302925677,22.011,5.08,1.258
Rougned Odor,TEX,2B,6,2.051,0.532,1.91,0.565,0.308782587,23.707,5.643,1.18
Francisco Lindor,CLE,SS,5,2.645,0.394,2.019,0.654,0.28539012,22.916,5.084,1.25
Elvis Andrus,TEX,SS,6,2.027,0.161,1.94,0.618,0.316553491,24.596,5.83,1.856
Brad Miller,SEA,2B/SS/OF,6,1.93,0.621,1.78,0.509,0.310761524,22.755,5.065,1.916
Ian Desmond,WAS,SS,6,1.939,0.589,2.043,0.602,0.287019548,22.765,5.038,1.291
Ruben Tejada,NYM,2B/SS/3B,6,2.658,0.102,1.698,0.114,0.311420017,23.379,5.001,1.951
Omar Infante,KC,2B,7,2.037,0.331,1.948,0.195,0.2776777,26.646,6.318,1.053
DJ LeMahieu,COL,2B,6,1.782,0.186,1.944,0.454,0.314260832,22.961,5.614,1.555
Andrew Romine,DET,2B/SS/3B,6,1.763,0.18,1.566,1.114,0.292755138,22.967,5.168,1.508
Jordy Mercer,PIT,SS,6,1.799,0.427,1.702,0.173,0.305646568,23.503,5.48,1.493
Nick Ahmed,ARI,SS,6,1.804,0.523,1.607,0.391,0.300765766,22.202,5.037,1.529
Chris Owings,ARI,2B/SS,6,1.886,0.241,2,0.803,0.27303977,22.982,5.164,1.041
Luis Valbuena,HOU,2B/3B,5,1.858,0.727,1.765,0.037,0.320075361,19.108,3.9,2.082
Jose Iglesias,DET,SS/3B,6,1.555,0.136,1.326,0.601,0.336261095,21.633,5.615,1.14
Miguel Rojas,MIA,SS/3B,6,1.768,0.16,1.664,0.542,0.281982411,23.083,5.063,1.169
Eddie Rosario,MIN,2B/OF,5,1.658,0.402,1.664,0.588,0.280442988,20.135,4.719,0.888
Andrelton Simmons,ATL,SS,6,1.595,0.33,1.711,0.102,0.286619938,22.4,5.009,1.278
Brett Lawrie,OAK,2B/3B,5,1.656,0.481,1.636,0.17,0.302725671,19.298,4.627,0.984
Jean Segura,MIL,SS,5,1.745,0.226,1.553,0.626,0.288380156,19.613,4.712,0.768
Devon Travis,TOR,2B,5,1.486,0.474,1.348,0.266,0.319873275,18.622,4.529,1.205
